 1-830.4316119779031 2-517.6823476734205 3-952.2124807804317 4-703.6467830833013 MY-1128.6500608062308 G:_--610.9677131328103 loss-164671.78125
 1-727.4502033911112 2-654.3270746214903 3-883.5826655266014 4-679.3809363230226 MY-1115.6385716737398 G:_--461.3114970522495 loss-109777.390625
 1-855.3391784072412 2-638.0837114060585 3-714.215617817267 4-492.80551438217407 MY-1022.060858440404 G:_--529.2553440582299 loss-115719.4765625
 1-623.0926259004259 2-533.1443734406433 3-800.5881017098199 4-566.3206810742022 MY-1167.3886896243723 G:_--634.244316183729 loss-132233.3125
 1-622.4028518859897 2-531.7289697056196 3-900.9935524606269 4-603.0754114850735 MY-1174.7394413756656 G:_--643.010471670046 loss-166242.640625
 1-554.8539100811422 2-475.4079430783653 3-814.3690290195816 4-571.5334695629995 MY-769.9140330804177 G:_--194.50609000205236 loss-29554.37890625
 1-720.0545353946175 2-647.0658346851558 3-954.4152737764185 4-633.097899513009 MY-1083.2136195829858 G:_--450.11572006997676 loss-50810.4921875
 1-716.9803830293542 2-585.9898224163521 3-834.5206946251831 4-646.8992465424254 MY-1043.1029533695835 G:_--457.11313095323135 loss-16478.955078125
 1-794.8383245522514 2-560.930947575747 3-942.2209733725822 4-568.911763828385 MY-1156.653318065788 G:_--595.7223704900409 loss-54572.3046875
 1-628.04370844587 2-727.8165918870047 3-810.8619517592628 4-573.102850292115 MY-912.2670874543617 G:_--339.16423716224665 loss-31868.677734375
 1-711.2702728765755 2-407.12998430158024 3-884.9525217987814 4-487.6574732143641 MY-1057.8927545962215 G:_--650.7627702946413 loss-37479.4453125
 1-695.530261665404 2-471.2629312503727 3-882.0117512967132 4-649.4366098804 MY-1162.7807204567334 G:_--691.5177892063607 loss-43148.66796875
 1-737.9623635789425 2-631.0875436088971 3-908.534637910312 4-721.1857622786779 MY-1257.0956975247461 G:_--626.008153915849 loss-58126.859375
 1-559.9338984754019 2-645.6788970274449 3-996.386927395192 4-645.2731584571627 MY-1187.1116352670622 G:_--627.1777367916603 loss-26125.634765625
 1-458.65729467445135 2-568.480421324076 3-734.6156332673984 4-625.2581766827409 MY-969.653442490109 G:_--510.99614781565765 loss-67999.296875
 1-785.0374344783712 2-517.3494860098933 3-850.3334346731342 4-580.4373613823914 MY-1186.1230518972118 G:_--668.7735658873185 loss-19089.958984375
 1-746.1938918639079 2-539.9125488301327 3-894.3190259466331 4-566.4352121510117 MY-875.1832191805115 G:_--235.27067035037885 loss-176630.203125
 1-666.9586389311584 2-548.8833458230052 3-867.8328358040676 4-566.0188059969903 MY-1246.4346577840483 G:_--697.5513119610431 loss-40160.17578125
 1-659.5832663097922 2-438.1584940576346 3-885.1726578348407 4-731.4430180849563 MY-1048.948302930171 G:_--610.7898088725364 loss-48622.953125
 1-801.5328687839433 2-571.2987414516972 3-867.6690717672059 4-709.6450900019244 MY-1145.23109922509 G:_--573.9323577733928 loss-120492.234375
 1-712.0371802749469 2-633.7500402604737 3-861.1904122599854 4-513.3884185521471 MY-1090.8083668845218 G:_--577.4199483323747 loss-45380.7890625
 1-714.7146885429131 2-550.9518402635122 3-814.1021249364753 4-607.6605229693668 MY-977.6804108686895 G:_--426.7285706051773 loss-94836.6171875
 1-582.8407384499069 2-600.0801358577124 3-904.1586922639106 4-602.0833688209349 MY-1123.9826556788619 G:_--541.141917228955 loss-76267.2421875
 1-686.7427360571312 2-560.2504582177463 3-956.5596134817117 4-627.1920849281477 MY-1180.2267018486025 G:_--619.9762436308562 loss-14925.08203125
 1-830.0947732182872 2-523.0995005490037 3-901.557486849875 4-587.9446028492358 MY-864.8918762192411 G:_--241.79237567023745 loss-313981.4375
 1-479.22550385628335 2-410.19988058737323 3-886.1813820522889 4-497.1164465819036 MY-1079.5936255215584 G:_--669.3937449341852 loss-23442.20703125
 1-612.0877477665476 2-584.8346210530634 3-921.3166377055516 4-579.8545761658767 MY-1053.2848157367212 G:_--473.4302395708445 loss-65045.0
 1-702.4799913108874 2-732.0897203378887 3-901.7267050148549 4-586.0842023711031 MY-1173.9985905692151 G:_--587.9143881981121 loss-12800.4169921875
 1-613.8519224972564 2-536.4089875129118 3-836.4450388849405 4-547.535753623906 MY-1128.2267558499407 G:_--591.8177683370288 loss-52210.66796875
 1-552.8742358002835 2-480.41933806721966 3-862.5792070170784 4-658.5933103158185 MY-1103.0735928865663 G:_--622.6542548193466 loss-17107.482421875
 1-590.0475558923828 2-505.1062205963358 3-813.753061601188 4-562.2709806205286 MY-951.7711999883168 G:_--446.664979391981 loss-7444.69091796875
 1-683.8893500954053 2-1085.682672267923 3-865.8945203416836 4-671.1514180806194 MY-758.9169344229783 G:_-312.234483657641 loss-1023768.625
 1-527.1808517475777 2-544.5485499347354 3-902.6947748394014 4-670.5402328072845 MY-963.6900824013555 G:_--436.5092306537779 loss-60175.0234375
 1-816.5388340418018 2-540.108132935314 3-923.4504959881049 4-564.3072205645465 MY-1029.2503376090485 G:_--489.14220467373457 loss-119929.5546875
 1-836.1353205874716 2-549.0799569693871 3-876.2339243893097 4-755.95678870722 MY-1140.6391669340014 G:_--591.5592099646143 loss-23690.8828125
 1-696.1650131812581 2-536.4377190625994 3-815.2840543472583 4-505.0134951286004 MY-1158.4898415262453 G:_--653.4763463976449 loss-18906.392578125
 1-688.7692605895817 2-562.20765738625 3-877.4229307753204 4-739.5191444817444 MY-1159.3148848628343 G:_--597.1072274765843 loss-30472.46875
