 1-661.1144328515244 2-493.12341574245477 3-938.373803785301 4-572.847769700238 MY-614.6328697024181 G:_-278.49054604003663 loss-39098.8203125
 1-709.3067729075689 2-461.0688359022516 3-753.6694055529103 4-676.4313951717926 MY-979.0570105831505 G:_--517.988174680899 loss-497526.0625
 1-627.1908787092069 2-490.23852012446014 3-746.8213112085708 4-478.5193228070909 MY-829.1317360180556 G:_--350.6124132109647 loss-264900.3125
 1-739.0048503133568 2-487.93909179050985 3-860.905957000404 4-767.5631078037965 MY-787.1593009673651 G:_--199.22020917685524 loss-189299.828125
 1-767.8180162085924 2-476.0222280958014 3-965.6713532355294 4-483.27295800170407 MY-683.533200509685 G:_-192.48902758611638 loss-19039.486328125
 1-704.1045553721528 2-499.13087139298074 3-858.3728381011463 4-514.2262793386749 MY-683.0010674747718 G:_-216.1298039182089 loss-16920.4921875
 1-655.9201550069834 2-641.289144143031 3-857.4638665184283 4-506.8200771335025 MY-797.1365338867868 G:_--190.31645675328429 loss-175259.3125
 1-693.0567219702834 2-480.82658635053286 3-885.000903211445 4-452.3021475029542 MY-505.3268076582667 G:_-346.9753398446875 loss-56596.41015625
 1-621.1969550491143 2-452.18111356215417 3-854.4097794854528 4-479.0784913087798 MY-580.054983049684 G:_-272.1261305124702 loss-60635.60546875
 1-637.1898108478035 2-619.0590568621041 3-875.129354289547 4-518.3275873826461 MY-929.0570827120118 G:_--410.7294953293657 loss-325352.59375
 1-571.1392705196154 2-636.8479821920349 3-738.3578848409314 4-441.3978311551009 MY-1013.2288971088408 G:_--571.8310659537399 loss-440817.84375
 1-671.1634241252129 2-448.23757795903276 3-928.4202194557231 4-589.7468445297137 MY-821.7500210521658 G:_--273.5124430931331 loss-225090.25
 1-774.3516476163243 2-541.6988607539682 3-799.515581299995 4-499.32770658818583 MY-911.0075862353284 G:_--411.67987964714257 loss-159162.5625
 1-680.4505473209969 2-583.5878418267234 3-850.0547794252636 4-564.4886334346617 MY-737.7484984465248 G:_--73.2598650118631 loss-133045.203125
 1-786.8035778213671 2-471.11527355843816 3-919.7469500468826 4-490.51429515827033 MY-713.5200455997172 G:_-157.595227958721 loss-27886.32421875
 1-696.870920364358 2-609.0299764056265 3-852.4453146035529 4-538.575398952104 MY-583.732334993565 G:_-854.843063958539 loss-557072.625
 1-567.979889044783 2-464.63946845397237 3-819.7684979373631 4-774.9239765806012 MY-923.6558063394102 G:_--459.01633788543785 loss-320528.625
 1-687.3341019651233 2-454.5532204221351 3-768.5621174690584 4-507.06790817048835 MY-555.1408922106502 G:_-299.41232821148486 loss-62807.1484375
 1-548.4892179546393 2-477.99001971977737 3-710.5648961491648 4-522.1854320965037 MY-677.3213855984737 G:_--99.33136587869637 loss-75440.8515625
 1-616.5928237854154 2-477.2999482184573 3-925.4347822768499 4-571.2981518538296 MY-732.5493656529877 G:_--155.24941743453041 loss-92598.71875
 1-581.8390852239656 2-443.1764294865496 3-848.5972823076095 4-490.0767964042169 MY-776.2684802020442 G:_--233.09205071549462 loss-164472.515625
 1-645.5865491447112 2-474.124639325512 3-823.1138435425468 4-457.4869663170113 MY-763.7635210081944 G:_--206.2765546911831 loss-179387.234375
 1-602.35036248633 2-459.5774892106671 3-798.9737332250486 4-610.6011492981964 MY-975.0833784208019 G:_--515.5058892101347 loss-455924.0
 1-703.363646110258 2-570.7478429301914 3-769.3368542266373 4-519.0729486098762 MY-709.1342957514655 G:_--90.0613471415893 loss-59376.95703125
 1-716.3297523159599 2-478.74812505737395 3-923.3175609860336 4-476.1600652424545 MY-722.2410112586409 G:_--146.08094601618643 loss-88307.578125
 1-883.891610037224 2-485.6846363097437 3-844.6251648124324 4-470.0147737456789 MY-655.0301433447858 G:_-214.98463040089314 loss-56673.265625
 1-614.691514430931 2-490.90287904196214 3-785.107302064199 4-502.1599108431376 MY-590.0001124405682 G:_-300.902766601394 loss-82080.4140625
 1-846.3487937423596 2-504.0553521262023 3-799.016886031813 4-459.2031212344306 MY-551.1885531430478 G:_-308.01456809138284 loss-40798.578125
 1-695.1875887773999 2-518.8071721473813 3-829.8860615843007 4-498.6534096757706 MY-601.9865328564656 G:_-296.666876819305 loss-92268.0390625
 1-614.9536820039252 2-522.7483913032444 3-792.5562707510883 4-474.051806089095 MY-687.2306325264354 G:_--113.17882643734043 loss-25685.63671875
 1-722.8716687168898 2-486.4112805943687 3-968.1901203213124 4-498.15079577435836 MY-601.1226711693724 G:_-285.28860942499625 loss-22887.240234375
 1-852.1878343249963 2-542.3409529308612 3-904.7940884059864 4-460.876320247718 MY-535.1537571559135 G:_-825.7225630918045 loss-677623.8125
 1-716.0940010298681 2-703.3853411824778 3-878.2372103541353 4-670.3504355684831 MY-846.3778403728371 G:_--76.02740480435398 loss-47110.3046875
 1-788.9845930680042 2-484.1099708039013 3-915.1779061046354 4-487.80486195013225 MY-975.747810933594 G:_--491.6378401296927 loss-285921.625
 1-625.27545138749 2-518.9648834058319 3-811.5995291140563 4-440.9336628796424 MY-683.2252340184746 G:_--142.29157113883218 loss-167583.546875
 1-664.3925666963819 2-497.5623942546872 3-833.3074782173626 4-632.3876851936171 MY-833.0171036272059 G:_--235.45470937251866 loss-193553.09375
 1-649.8442751282839 2-507.9412733588009 3-911.2758230974728 4-465.69742510092453 MY-631.417232857814 G:_-234.2801922431105 loss-67844.6640625
 1-768.3601329061543 2-439.91169778885893 3-1015.1000090778114 4-486.9067859682016 MY-710.3159319892205 G:_-129.5957657996384 loss-21791.15625
 1-843.3593010057048 2-476.60132648064985 3-857.8790075698174 4-455.5887788001573 MY-726.8048884504103 G:_-128.78389034974697 loss-39662.1796875
 1-705.4993341838376 2-506.6022731883482 3-922.0835827561117 4-453.75399178222347 MY-600.6075074195185 G:_-253.146484362705 loss-60727.73046875
 1-729.4559035352928 2-570.2752794036958 3-991.7711444130575 4-483.9141267771527 MY-654.0967185577306 G:_-229.81740821942213 loss-52850.1640625
 1-692.1476328659876 2-570.2905521400684 3-979.5875019104056 4-572.5906819299515 MY-714.5307153301902 G:_--44.24016319012185 loss-62567.91015625
 1-527.8197097660694 2-601.0638358965713 3-823.6128959249149 4-543.1343829165968 MY-797.3252613014391 G:_--169.5055515353697 loss-121849.9453125
 1-583.758294798043 2-666.1636851129157 3-824.4264828952239 4-461.58929479979145 MY-613.5668934302953 G:_-248.02240136949615 loss-44369.3984375
 1-746.6384727536886 2-451.19108171104756 3-983.9892146389628 4-462.157069835632 MY-652.5335969399894 G:_-198.6574847710582 loss-15830.7216796875
 1-782.9169182397417 2-763.3784160704461 3-869.5656152103805 4-471.2237983364845 MY-813.5904812529454 G:_--242.36668291646095 loss-208784.109375
 1-594.4901829779128 2-456.5483970148226 3-798.7725849287656 4-461.3751085542182 MY-555.7875654547406 G:_-300.760831560082 loss-64649.6796875
 1-631.0681769516652 2-505.8928503710925 3-733.0848142540416 4-636.9678994559996 MY-556.5253231109416 G:_-849.3675272601508 loss-623298.5625
 1-729.1525784151272 2-986.6165576097758 3-811.46387715358 4-586.3568705153157 MY-644.5244210007079 G:_-841.8324495146078 loss-645531.5625
 1-587.9809599200125 2-602.0769327926555 3-882.6234693630503 4-489.3470076434351 MY-644.9590160272538 G:_--55.612008383818704 loss-32507.65625
 1-540.5679964225081 2-398.7347598177728 3-799.5226056526724 4-482.06970543782916 MY-1039.4828599206644 G:_--640.7481001028916 loss-464451.34375
 1-671.519468658337 2-545.6783561879837 3-848.2126149851665 4-536.8421878044504 MY-915.4014764198037 G:_--378.55928861535324 loss-417306.90625
 1-562.2110300970473 2-518.8075920202039 3-821.8134073263654 4-573.6767983294843 MY-681.243240852674 G:_--62.43564883247018 loss-52466.953125
 1-548.7480054828208 2-551.645891573241 3-794.6848310257077 4-457.61331740895395 MY-560.4959572550644 G:_--2.8826398461104077 loss-19198.626953125
 1-617.0833655255713 2-451.18944301022964 3-791.4468947581641 4-451.07996362751936 MY-556.7433310756134 G:_-294.336632551906 loss-54983.79296875
 1-525.3892205582607 2-459.6260595308788 3-895.9368688645973 4-468.50710567592654 MY-560.6987057302589 G:_--1.072646199380074 loss-23514.513671875
 1-659.8433397495564 2-494.00709992944036 3-863.388286191553 4-610.3704626134395 MY-1050.4513908699673 G:_--556.444290940527 loss-516373.625
 1-727.3552900276345 2-516.2068210140493 3-959.9714803908946 4-505.4099531496184 MY-982.6213266480437 G:_--477.2113734984253 loss-395337.4375
 1-612.891180740298 2-621.5327225208307 3-791.6540362638269 4-487.0825339811374 MY-676.0919704427747 G:_--89.00943646163734 loss-77875.890625
 1-646.3674816348615 2-475.3848937579607 3-650.0339914916339 4-589.6637494494463 MY-601.0260645915172 G:_-274.3588291664435 loss-65606.78125
 1-676.4216877290588 2-442.31084933241704 3-899.5686732458273 4-505.14054342228695 MY-785.9219636020047 G:_--243.61111426958763 loss-144216.109375
 1-807.8185236005569 2-608.3591269698843 3-862.2311647758152 4-533.978177173688 MY-925.1437088277625 G:_--391.16553165407447 loss-306463.0
 1-697.7906606517878 2-470.08769709312935 3-841.418677306758 4-472.6513839542811 MY-747.5285165228395 G:_--177.44081942971013 loss-100064.9375
 1-654.8508416580709 2-597.0366984570816 3-704.9138246876882 4-510.0404932168882 MY-593.2095700490768 G:_-816.8309231678114 loss-483472.28125
 1-708.3803409380811 2-494.1302449016246 3-784.2274978512735 4-473.64688677326836 MY-623.2176011082554 G:_-250.42928566501297 loss-33660.8125
 1-573.0049814823449 2-552.9907848224789 3-932.8629848450848 4-613.669872689917 MY-544.8637081299495 G:_-1608.1270766925295 loss-2518980.5
 1-577.267302426753 2-587.1435563796476 3-898.9646415750609 4-560.4779984643997 MY-591.1245347489902 G:_-69.35346371540948 loss-17991.0546875
 1-678.1390209196023 2-505.45194486233447 3-953.8970421252586 4-550.3841224918818 MY-700.5954967780355 G:_--95.14355191570098 loss-79277.25
 1-759.926469174509 2-602.1992703321637 3-766.7465024497973 4-790.1121815604063 MY-660.3154595707732 G:_-841.8838107613905 loss-470106.34375
 1-940.9495369773972 2-652.7984850985365 3-876.9617908334702 4-444.09836882309054 MY-1037.6525901335958 G:_--593.5542213105052 loss-404885.875
 1-647.0797454281757 2-458.1690103436182 3-1003.2966417510195 4-558.4359944448329 MY-636.8692023319918 G:_-221.2998080116264 loss-36471.546875
