 1-560.9019775932122 2-470.3131290406608 3-793.2015970235462 4-521.6946160017955 MY-878.3505981561932 G:_--408.0374691155324 loss-62059.23046875
 1-603.7580637681536 2-459.09263785502407 3-774.9683459011759 4-519.4395956287575 MY-1014.7404736763168 G:_--555.6478358212928 loss-168052.671875
 1-612.6823978846825 2-487.9924628245375 3-705.931843128338 4-607.3771461147987 MY-772.2479188556979 G:_--284.2554560311604 loss-17500.861328125
 1-492.6303261015303 2-539.8667079838243 3-878.6416266488206 4-480.8930064634485 MY-1068.6424925502704 G:_--587.7494860868219 loss-183963.921875
 1-643.2999025024296 2-506.6239874464933 3-826.1876422874959 4-547.1325826488194 MY-985.9200439670049 G:_--479.29605652051157 loss-84363.1484375
 1-600.1959593601879 2-571.0289036219567 3-908.7038478351352 4-574.9207351061749 MY-676.22768384713 G:_--5.198780225173323 loss-76420.9609375
 1-642.7523499915693 2-452.2727257874768 3-815.3504210830012 4-560.597806248998 MY-990.5688890087573 G:_--538.2961632212805 loss-82004.015625
 1-528.0387847424936 2-559.589658114845 3-763.8643919836386 4-581.1431400488353 MY-781.1254816902609 G:_--253.08669694776734 loss-19328.556640625
 1-682.0385160760266 2-522.2143674173062 3-771.3985522119092 4-564.8370735822282 MY-924.6611074285521 G:_--402.4467400112459 loss-21032.798828125
 1-510.2651403218292 2-517.6157493631498 3-767.9668463221972 4-691.0684870961519 MY-1005.5546597090674 G:_--495.2895193872382 loss-45248.65234375
 1-529.1166351714108 2-455.9574822020095 3-877.3331609275417 4-629.3338946778226 MY-792.363155988821 G:_--236.40567378681146 loss-14377.392578125
 1-565.8402249444631 2-633.248772735539 3-903.7830190150588 4-550.7552555503186 MY-881.0576415929348 G:_--230.30238604261626 loss-31313.509765625
 1-570.9447963770516 2-473.04657011332506 3-726.6339755261067 4-674.3163481172477 MY-855.3824066766125 G:_--382.33583656328744 loss-11341.5751953125
 1-568.6144474425699 2-423.7404734341113 3-745.6700506934118 4-453.59399247360193 MY-716.7581725685901 G:_--193.0176991344788 loss-36052.703125
 1-614.3257205416794 2-506.44397810369355 3-856.9168821663778 4-478.35293142957903 MY-857.3509784466137 G:_--378.99804701703465 loss-14821.111328125
 1-554.372034814536 2-436.1657322179519 3-793.8241361101018 4-578.4448507295654 MY-645.6982485800377 G:_--109.53251636208574 loss-90252.921875
 1-477.33057382086986 2-517.0538949705646 3-798.4333420624564 4-621.3493848854752 MY-1037.9431980607335 G:_--560.6126242398636 loss-48015.359375
 1-526.1338351753442 2-437.09679732812435 3-730.4126279533448 4-532.4042012131241 MY-1067.4799924973368 G:_--630.3831951692124 loss-88149.3359375
 1-575.7904653400582 2-491.9277250573134 3-791.689660393208 4-624.8628148706442 MY-879.6064015621206 G:_--387.6786765048072 loss-17465.650390625
