 1-518.2843013260823 2-512.2045612446918 3-702.5209770072626 4-625.4367058930441 MY-616.5912403481574 G:_-295.61332089653445 loss-428440.3125
 1-765.9954758463925 2-524.3725280228821 3-929.7079024760634 4-903.3368257720853 MY-858.7575779950802 G:_-65.61495002780191 loss-241707.59375
 1-696.5528684240865 2-464.6628305914029 3-855.1938797300207 4-796.3872450735113 MY-754.0649036146432 G:_-110.59792697675971 loss-201725.921875
 1-596.7095681995363 2-646.0456752002425 3-751.7213845149106 4-689.3066424563108 MY-755.2200390965013 G:_--158.510470896965 loss-24354.7265625
 1-636.2560680909737 2-538.5855496965205 3-930.6308850977107 4-1068.7323820355796 MY-723.1598190775487 G:_-215.42573061897178 loss-553298.375
 1-718.6501048462646 2-533.948079436128 3-918.9511805583301 4-969.664147099263 MY-638.5034362632659 G:_-795.444643172862 loss-1322315.0
 1-608.0030387379564 2-503.63673354736477 3-877.7872344987704 4-887.3276256975556 MY-724.0373547588442 G:_-179.59937878852054 loss-279236.96875
 1-740.5471449615458 2-506.3956637426786 3-930.2532110018176 4-838.0836665040604 MY-644.3186872980318 G:_-762.0769764446468 loss-1357116.75
 1-713.8529309093581 2-533.2203504912814 3-847.0136124715517 4-651.8858749942686 MY-526.1659128424442 G:_-1607.0544376488372 loss-3970915.0
 1-717.7057996408307 2-562.6258252140709 3-917.7816696012811 4-903.798256531149 MY-685.9831216053196 G:_-776.6427036087513 loss-1136418.375
 1-709.6836417149876 2-630.241584487897 3-963.9236166875207 4-779.7122306800218 MY-657.8699237438253 G:_-872.3716607440716 loss-1283274.625
 1-721.3429532107529 2-455.9730662892474 3-758.7847259287284 4-853.8121489715892 MY-689.6977295824058 G:_-666.2753367068416 loss-334157.84375
 1-668.5948329910844 2-575.8501395588643 3-790.8997710847905 4-605.71366034327 MY-825.6022936546892 G:_--249.75215409582495 loss-211907.75
 1-775.8536752021304 2-581.849513935114 3-890.6630967613534 4-952.9687762737794 MY-763.0169245325258 G:_-718.8325894025883 loss-589252.9375
 1-595.388972660731 2-464.41939232164 3-861.4860800873226 4-765.0530763117451 MY-610.2095847784067 G:_-254.2098075432333 loss-19112.90625
 1-546.5883686089535 2-546.3860236104182 3-709.4883840764438 4-691.989308430143 MY-578.0871856505017 G:_-368.29883795991645 loss-28634.3046875
 1-663.3953960370045 2-627.2364202253772 3-836.5948112659586 4-750.3687999985938 MY-792.5391006692378 G:_--65.3026804438606 loss-174811.84375
 1-1009.3176005782235 2-689.2909454521695 3-998.8533139037146 4-908.3070294647104 MY-726.9944398358988 G:_-862.2965056162707 loss-321619.34375
 1-668.4284071034932 2-585.8234750037785 3-856.4943505912953 4-879.4969067247233 MY-537.045623176244 G:_-1648.7778518275345 loss-1696267.75
 1-833.7415694530538 2-576.8446111072936 3-917.2675880935908 4-893.5853021426399 MY-837.8223262774137 G:_-139.02228482987994 loss-65325.046875
 1-635.4950058009092 2-611.7578843878805 3-933.0931657034674 4-911.896343170516 MY-895.2857696209263 G:_-116.47211476695418 loss-113197.2890625
 1-779.7419987662993 2-415.1890027336737 3-815.9801216794098 4-737.7007583655787 MY-645.3207286991909 G:_-669.8682740344827 loss-78420.015625
 1-658.9403011467929 2-700.0369219701554 3-990.5548255832456 4-911.7662630219443 MY-700.3369818137121 G:_-358.6033193330808 loss-25034.271484375
 1-673.8873203267733 2-550.6951858501526 3-829.792548852261 4-783.8537269005471 MY-752.358151353958 G:_-198.33703449619463 loss-24757.189453125
 1-705.9739451201212 2-591.9544463779191 3-975.2887521288108 4-849.8389748300028 MY-827.4279534933726 G:_-164.52649288454654 loss-42882.77734375
 1-870.8886532104578 2-556.1300321223789 3-842.5340283505802 4-673.0051791387222 MY-745.7954169107455 G:_-210.33461521163338 loss-119272.359375
 1-768.0156466108676 2-612.7275056425096 3-848.6623671775845 4-810.5510993514605 MY-654.0393315939367 G:_-858.6881740485729 loss-296824.90625
 1-776.2372649275268 2-610.0912825418047 3-805.0337453764862 4-799.6031064227914 MY-725.0071930934198 G:_-785.0840894483849 loss-94475.234375
 1-666.1606409559687 2-412.4378635166523 3-953.46339192599 4-864.0416464869321 MY-860.9433768249789 G:_--48.50551330832661 loss-317614.71875
 1-676.2607232155627 2-437.52179813076486 3-805.4262505567852 4-718.7891826061957 MY-737.9955897893209 G:_--200.47379165855602 loss-503377.1875
 1-804.6180782073786 2-502.47924193661174 3-848.8581036481979 4-754.4074211984178 MY-825.4865397732758 G:_--223.00729783666407 loss-617588.1875
 1-791.536910833925 2-550.7660959573861 3-887.8972114022168 4-765.0120634454038 MY-591.762743978039 G:_-859.0033519793471 loss-273022.40625
 1-701.1009289432598 2-503.6038501747787 3-892.9599663759158 4-739.3805423227109 MY-752.9985460557737 G:_--149.39469588099496 loss-436971.90625
 1-645.6325496505611 2-718.1824935104771 3-990.6118605120993 4-864.8078334428727 MY-957.302267517674 G:_--211.6697178671128 loss-559346.75
 1-654.950368128335 2-582.434072577935 3-764.3426784859499 4-772.6116130665953 MY-578.2476058317742 G:_-1604.186466746161 loss-1100557.75
 1-626.188202240894 2-634.7529890599534 3-865.3533452895048 4-695.009017308555 MY-525.4557894021091 G:_-1700.732412838785 loss-1408641.125
