 1-759.2661876821338 2-593.441463843218 3-1021.9358741159618 4-849.6473331587738 MY-729.7753852300729 G:_-763.6660786131451 loss-1319950.75
 1-615.328199825057 2-504.00894287779016 3-911.4232357849472 4-759.2670250706861 MY-528.514815418668 G:_-875.4941274591222 loss-2209590.75
 1-748.7673486145433 2-735.7802663557793 3-983.6162137703567 4-891.7175267582261 MY-606.9839517937656 G:_-1728.7963145620138 loss-4738798.5
 1-736.3666104675203 2-590.2998114170827 3-892.009930115824 4-843.0167473745274 MY-692.7674637046312 G:_-797.5323477124515 loss-1516198.0
 1-529.8154111094942 2-628.1788610085376 3-897.8912248577159 4-794.0774160539448 MY-532.849124602215 G:_-896.9662865072792 loss-1977788.375
 1-696.3656948241178 2-627.8520161662027 3-798.2280767004735 4-759.6112565706956 MY-752.5862799652027 G:_-275.265736201 loss-543032.5
 1-558.1621089632099 2-622.239274808806 3-879.919135159853 4-876.0663275871044 MY-661.7125891069023 G:_-296.4495198563076 loss-480359.5
 1-745.2535368024915 2-592.1960040422595 3-945.2460439267232 4-829.4309356284522 MY-534.510244874132 G:_-1657.6857591681273 loss-4224348.5
 1-719.2345197033937 2-572.6321047364534 3-926.4216854242409 4-839.6917219876487 MY-621.8371951143753 G:_-850.7949096220781 loss-991073.75
 1-846.3042579716584 2-487.3485459381198 3-812.2707169389664 4-603.4730911814357 MY-563.6062428505574 G:_-823.7423030875625 loss-930659.3125
 1-693.1793162844119 2-455.10938984678654 3-937.3379660019884 4-751.7643926681203 MY-682.175340490858 G:_-672.9340493559284 loss-553508.125
 1-565.497021242416 2-648.7712388524609 3-859.618437329031 4-783.0368743360089 MY-733.5533174335696 G:_-231.9437038088464 loss-23996.34765625
 1-659.7552886410778 2-680.7784741277234 3-692.6141630770366 4-665.5905111229 MY-563.6104900965031 G:_-1696.1447985445748 loss-2241530.25
 1-548.6909228742594 2-646.4832421100419 3-855.310741837397 4-842.6805631183129 MY-665.6209316733615 G:_-283.0699912008979 loss-38059.81640625
 1-593.1140517826669 2-572.8582167114153 3-853.3492569502188 4-725.4578441103129 MY-697.6255162019174 G:_-275.2327005094978 loss-22795.625
 1-767.3286965999871 2-541.9872673829699 3-920.0187375262162 4-822.8380579448034 MY-949.1863188710183 G:_--407.19905148804844 loss-713256.9375
 1-678.3227269525918 2-550.4434957222272 3-922.7437381416175 4-897.3158367887612 MY-856.5173335181527 G:_-93.92616220407456 loss-139829.140625
 1-607.0039944771625 2-525.9814744735149 3-1032.63436107132 4-652.5671823283576 MY-660.6924817529004 G:_--34.71100727938551 loss-304416.0625
 1-699.0333991819945 2-509.2482609502149 3-944.5224408351916 4-843.8798571031871 MY-718.959873587629 G:_-190.28838736258592 loss-81420.234375
 1-981.2915533264201 2-670.396577423936 3-901.0770046970049 4-894.003407576494 MY-793.4212470720676 G:_-776.9753303518685 loss-115254.078125
 1-760.072510811068 2-593.6183201894029 3-822.5006465792036 4-691.4421107971394 MY-742.5632037105793 G:_-251.0551164788236 loss-90273.6484375
 1-577.4536944084284 2-423.9738929519298 3-759.5920421813006 4-874.2936627040693 MY-635.0514867997836 G:_-188.92240615214627 loss-200182.453125
 1-585.417589428951 2-461.43483331581496 3-860.2940894643807 4-809.0235851815934 MY-605.9427214590698 G:_-255.4921118567451 loss-60401.5625
 1-833.9583555184244 2-731.8333988169784 3-926.8278104800705 4-778.5805987809044 MY-875.3687779506549 G:_--43.53537913367654 loss-635425.75
 1-626.220450475447 2-543.6746638233213 3-837.129187520404 4-795.5859028768153 MY-543.3139896355344 G:_-1600.360674187787 loss-845969.125
 1-744.3207575683658 2-550.8666552139281 3-889.8735675546673 4-651.3279537082125 MY-739.5639135213653 G:_-211.3027416925628 loss-59147.4140625
 1-712.5347177515561 2-548.2348138821795 3-731.2359130436744 4-738.440751532459 MY-645.5374107539404 G:_-802.6974031282391 loss-133658.140625
 1-689.7269286514786 2-525.4474591912357 3-722.5598155065254 4-776.9374089166698 MY-539.6641211762 G:_-885.7833380150357 loss-125757.8046875
 1-698.0849075448568 2-777.6965365647965 3-962.3322403434497 4-745.41122693493 MY-556.4869091338245 G:_-1741.5979984110322 loss-1826251.125
 1-691.7724677541313 2-668.8975228160143 3-860.9897448202454 4-779.3601085702326 MY-621.2582689304345 G:_-1647.6392538855798 loss-1610665.125
 1-704.3650581876341 2-686.172037132342 3-905.5280178934306 4-800.5630141303852 MY-776.8944358740217 G:_-309.27760125832026 loss-57509.94921875
 1-734.7596389990358 2-604.3117846978545 3-774.2016781232493 4-925.7577928503991 MY-814.1521561968827 G:_--109.84037149902827 loss-306041.625
 1-815.7175321677531 2-617.6186380079993 3-798.2640825618678 4-953.8297083927558 MY-828.5794594374993 G:_--110.96082142950002 loss-514555.90625
 1-1005.7569339399297 2-492.1755406533143 3-904.2916219953826 4-937.4580120845706 MY-832.784254851191 G:_-559.3912858021233 loss-16272.4326171875
 1-673.9305724625079 2-649.0272920093967 3-756.2716025297501 4-808.4362873855675 MY-487.1293075420383 G:_-1761.8979844673584 loss-1324564.0
 1-635.6409395092489 2-500.0236798269075 3-777.9900966547023 4-894.5674892023316 MY-774.7273320050425 G:_-125.29634782186497 loss-93083.6953125
 1-518.8850908545484 2-599.7693189173008 3-856.7950695302154 4-770.8192378381568 MY-602.5351989619668 G:_-316.3498918925816 loss-124053.34375
 1-673.475452584319 2-821.7600547739934 3-869.7042453152197 4-1011.0559738340042 MY-650.3415917434185 G:_-1623.1338608409005 loss-1164546.625
 1-637.776125096415 2-521.6309340292838 3-945.4562594507456 4-799.2434421727005 MY-554.327510999216 G:_-867.3034230300678 loss-153745.015625
 1-551.1964952743643 2-536.4800365413606 3-773.3439574522484 4-794.8695548096835 MY-711.5024241539594 G:_-224.97761238740122 loss-88046.0390625
 1-575.3682064813323 2-613.2900264324845 3-815.7941545846 4-797.4247963599838 MY-681.594637302315 G:_-293.7735691790173 loss-110970.9375
 1-616.2650898901322 2-648.5646624552896 3-889.976880726626 4-626.0167713680237 MY-668.3342691726764 G:_-47.930820717455845 loss-270625.125
 1-764.7236786288059 2-505.55357475762736 3-866.0417617767234 4-827.4687093756103 MY-770.6492559634685 G:_-134.90431879415888 loss-72445.90625
 1-800.8513372509129 2-437.4394874613463 3-785.0464012863599 4-729.5120949760005 MY-760.4689898519755 G:_-76.9704976093708 loss-382262.71875
 1-686.6615612251875 2-411.75255511391765 3-882.5122889782309 4-807.8379755353093 MY-707.7485022071439 G:_-104.00405290677372 loss-228775.078125
 1-735.6897718369229 2-515.9670547135981 3-751.1651206716969 4-785.336277682158 MY-750.2339248562383 G:_-165.7331298573598 loss-307666.40625
 1-815.7936251427906 2-447.52225347600086 3-835.9256911607549 4-724.3644266622559 MY-700.1523864612583 G:_-647.3698670147426 loss-52117.7578125
 1-676.3745975820087 2-388.49864897470997 3-746.6208103145124 4-639.4787303912273 MY-595.119703893694 G:_-693.3789450810159 loss-41726.3984375
