 1-698.3399738917395 2-522.1849088070209 3-818.022960423983 4-988.4354011136559 MY-1061.377852790668 G:_--539.1929439836471 loss-293229.0
 1-570.1497876096828 2-494.09810484824885 3-881.0264900677771 4-974.4139172256305 MY-1083.2947449607602 G:_--589.1966401125114 loss-296133.0
 1-677.5176034105568 2-522.9858527778326 3-674.8665985590097 4-868.491190432361 MY-879.783593598905 G:_--356.79774082107235 loss-84826.515625
 1-718.9081908221405 2-455.5771679034523 3-766.1509453381278 4-1008.8197658032464 MY-1200.4696326500568 G:_--744.8924647466046 loss-460668.1875
 1-561.8958119356041 2-607.7394182498856 3-951.8989541741126 4-1040.3746876582866 MY-1247.7174474544072 G:_--685.8216355188031 loss-450593.90625
 1-859.5352943839804 2-478.96179329545197 3-811.1261542521534 4-991.182850767311 MY-1207.7445933709964 G:_--728.7828000755444 loss-337134.21875
 1-624.9272639607096 2-505.43836725482373 3-823.6549590018293 4-1120.0324436117576 MY-1241.4865169062302 G:_--736.0481496514064 loss-303083.71875
 1-608.6389078230231 2-419.43567034314873 3-884.7429661089585 4-963.9331276676656 MY-1078.164741706346 G:_--658.7290713631971 loss-190558.671875
 1-775.2210253245798 2-670.3789302450116 3-840.6023217798833 4-994.8841981938426 MY-1128.0537978365392 G:_--457.6748675915276 loss-63298.1484375
 1-889.2114624936764 2-464.77929441526413 3-923.6093868695637 4-1026.0270702711757 MY-1122.4570207754293 G:_--657.6777263601653 loss-114021.8046875
 1-702.9081160047052 2-483.3946172870072 3-906.260230223482 4-919.4901274018946
