 1-849.1937030541195 2-644.4233920256383 3-987.5609454770472 4-846.4860795176581 MY-714.9465036108985 G:_-829.4768884147398 loss-1611836.125
 1-636.2112396965823 2-510.9281797415627 3-841.2151334892948 4-708.0164434578273 MY-539.2396934889317 G:_-871.688486252631 loss-2173406.0
 1-661.7530621655785 2-526.706650126548 3-911.5544456808319 4-712.2127089647871 MY-617.92525273099 G:_-808.781397395558 loss-1264919.75
 1-851.6833562783066 2-507.47811865974404 3-780.9713508017054 4-819.7323439345386 MY-966.8433137937094 G:_--459.36519513396536 loss-16671.47265625
 1-764.4558211722332 2-582.0031544405045 3-876.7097068495016 4-763.7906269329385 MY-672.1662697661951 G:_-809.8368846743094 loss-1661349.625
 1-472.9635527667225 2-495.1535202912893 3-849.5190616388275 4-764.002989690273 MY-831.5118274692917 G:_--258.5482747025692 loss-12701.015625
 1-649.2819312780703 2-594.7685594280938 3-902.2119477591651 4-575.2069841176343 MY-644.689941596916 G:_-330.5170425207183 loss-344663.1875
 1-849.6342187554411 2-632.4185102960978 3-874.4696137037786 4-785.181595273359 MY-708.280625662903 G:_-824.1378846331947 loss-1763099.625
 1-780.6230067587011 2-654.8615213498344 3-890.2158671635196 4-873.2902453556947 MY-898.7999124351244 G:_--243.93839108528994 loss-31211.228515625
 1-596.4040057526174 2-481.7107358398374 3-780.6513195510734 4-758.0496533379243 MY-514.8468070340305 G:_-866.863928805807 loss-1611504.875
 1-700.9692568398328 2-613.7295486415695 3-824.2973466908252 4-836.0126114321962 MY-734.9480998083001 G:_-278.78144883326945 loss-453728.59375
 1-598.4475365383265 2-544.3735443072928 3-969.684507249918 4-933.1456273470959 MY-654.1974065554011 G:_-290.1761377518917 loss-439094.625
 1-513.0605649703447 2-443.35970439114703 3-773.364569799252 4-815.3125580299208 MY-822.9023650121864 G:_--379.5426606210393 loss-63251.16796875
 1-876.5316253074659 2-517.7302824063933 3-1089.9649397410617 4-822.380523474341 MY-720.6988218934371 G:_-697.0314605129562 loss-1013657.875
 1-701.5921903505471 2-808.6918423023783 3-917.5267537699875 4-818.0568620466111 MY-635.345934177842 G:_-1666.2462561727052 loss-4543410.0
 1-597.7192476838229 2-554.6437901413497 3-779.3890452063749 4-784.7759521748256 MY-631.3215573984057 G:_-323.3222327429439 loss-503032.5625
 1-798.6876628364892 2-644.8529629517873 3-1038.537956017281 4-832.532827692404 MY-678.7711818963858 G:_-866.0817810554015 loss-1229580.125
