 1-703.6353061744722 2-475.51823528652153 3-987.5539329802344 4-529.5635475680099 MY-507.2403131169848 G:_-868.2779221695367 loss-2004035.0
 1-826.4820680568714 2-605.2611016159599 3-891.7842335996037 4-512.6120802060403 MY-745.5354997126923 G:_-167.07658049334805 loss-379668.46875
 1-772.5746874957719 2-504.73782402865413 3-980.6556037491207 4-511.23434205589325 MY-802.311948264559 G:_--197.57412423590483 loss-28443.5546875
 1-692.1617971762341 2-586.1136194606045 3-831.465555986501 4-593.910957515207 MY-806.0397008617538 G:_--119.9260814011493 loss-142446.28125
 1-750.480504205683 2-565.4316236306648 3-837.1961993175704 4-654.3402749246518 MY-647.4218196690139 G:_-818.009803961651 loss-1522805.375
 1-800.3999345362531 2-506.6519562940547 3-950.7674401577497 4-534.5870072340143 MY-769.4774244200731 G:_-137.17453187398155 loss-225450.59375
 1-811.5875808783559 2-469.043052635479 3-929.1484097365426 4-529.2607059043501 MY-861.6868521017707 G:_--292.6437994662917 loss-69600.390625
 1-674.4553328190799 2-532.955796385048 3-921.2317775211255 4-506.44473320839637 MY-861.6415320127385 G:_--255.1967988043421 loss-38018.92578125
 1-579.6467731915884 2-541.7725844860489 3-905.1259659101092 4-567.0602128237512 MY-764.1624997882717 G:_--122.38991530222279 loss-22518.66015625
 1-588.6717316116886 2-503.5162518291397 3-879.1083161201581 4-618.196746216447 MY-475.68999052910874 G:_-1627.826261300031 loss-2804577.25
 1-694.9104672420591 2-499.3777273311782 3-701.0152955705494 4-473.4674951907462 MY-869.0410719668904 G:_--395.5735767761442 loss-167853.46875
 1-748.148196469415 2-492.0189612916906 3-970.6332656158563 4-496.9758248927318 MY-628.9106076445735 G:_-263.1083536471171 loss-122383.375
 1-651.6356474386246 2-508.00610062644495 3-915.4291313243697 4-457.82052286983657 MY-670.2851951221135 G:_--112.4646722522769 loss-16111.8486328125
 1-603.0416868024668 2-432.13749619544626 3-889.8411567893505 4-457.86472672517374 MY-857.3419397657915 G:_--325.20444357034523 loss-114564.9140625
 1-796.0346604030244 2-708.9711600940317 3-949.7196673323442 4-475.1722165707489 MY-741.1335123890323 G:_-134.03870418171664 loss-50186.5078125
 1-911.7781532068162 2-514.6575706063674 3-871.8266563896136 4-581.1171309680346 MY-591.0374483789838 G:_-323.6201222273836 loss-95779.15625
 1-696.7152223717121 2-491.36088283860107 3-769.5483564872927 4-588.864139747665 MY-1042.9545510730911 G:_--551.59366823449 loss-295158.375
 1-761.6510014383647 2-509.28189546503785 3-845.5017834908507 4-529.2255348730295 MY-1079.9187556014938 G:_--570.6368601364559 loss-288399.875
 1-646.4785154357373 2-571.4634313603713 3-833.485124237892 4-550.1888438149259 MY-652.346482290859 G:_--2.1576384759330267 loss-20768.18359375
 1-777.5003705566724 2-433.9636430308309 3-970.894658256621 4-419.4321869769631 MY-648.5424449215403 G:_-170.8897420554228 loss-33118.93359375
 1-761.1072912882448 2-485.51255153047487 3-816.1868785262518 4-563.6002855940036 MY-712.845918010216 G:_-172.66663352025887 loss-43971.01953125
 1-622.1992626396382 2-600.3744718763093 3-968.3128958082691 4-590.6456072611188 MY-854.5176307525298 G:_--163.87202349141103 loss-49159.890625
 1-758.1081758085229 2-497.6822306327899 3-899.2529674767416 4-549.2764487263332 MY-646.0669386619967 G:_-251.61529197079324 loss-34858.7109375
 1-654.664113925461 2-628.3716350444722 3-852.0897228787037 4-511.41657361154245 MY-626.7497900360682 G:_-784.6667835754743 loss-506559.65625
 1-818.3757119827687 2-484.3956644580231 3-996.2654320036124 4-560.2093717510885 MY-713.9679927443904 G:_-170.42767171363272 loss-28426.369140625
 1-838.0158172255991 2-465.6825328645991 3-877.7553915079957 4-585.9606585035408 MY-618.224015711864 G:_-247.4585171527351 loss-43995.61328125
 1-772.1334273542967 2-492.7406356703657 3-1016.3040739613527 4-559.5453195911273 MY-798.0035760890587 G:_--205.262940418693 loss-141431.78125
 1-819.8873311325028 2-462.1149432351832 3-863.6503667443517 4-687.8606933761076 MY-750.8007842752083 G:_-111.31415895997486 loss-21068.294921875
 1-655.9023712655306 2-478.89330847442056 3-753.6327568954266 4-463.5984177917289 MY-599.3159509078127 G:_-264.28246688391613 loss-48548.703125
 1-820.2265296911343 2-502.5231446964418 3-801.7183031411801 4-563.434665984339 MY-801.8991395256883 G:_--199.37599482924645 loss-185929.296875
 1-621.4739348813696 2-624.401504408806 3-947.1435745414542 4-475.2327449553732 MY-482.07571823772975 G:_-893.1570267176435 loss-589465.1875
 1-753.7349934249847 2-564.9341904714519 3-973.6088167379229 4-693.0184226662815 MY-610.0836507911625 G:_-854.8505396802893 loss-669454.5625
 1-729.9172451342918 2-571.8037265706282 3-750.9946099424178 4-645.9459948755459 MY-580.5385029806555 G:_-891.2652235899727 loss-685138.3125
 1-720.0713105712423 2-554.9705533331589 3-780.7847052964365 4-531.8464279878228 MY-449.2469030524438 G:_-1682.5995249353791 loss-2573547.5
 1-726.8469235729889 2-470.842353560935 3-914.4708198954879 4-564.6159432819828 MY-680.1790562857807 G:_-190.66329727515432 loss-32802.55859375
 1-731.126324365421 2-531.9331193803496 3-983.0533007997929 4-459.7307953877005 MY-634.3508952015225 G:_-225.37990018617802 loss-43745.0390625
 1-794.3800346839461 2-500.24138516133195 3-985.1124877294237 4-563.656958986024 MY-773.1326521584023 G:_-127.10873300292968 loss-33039.84375
 1-678.5911149944931 2-470.05214938911064 3-915.0007306102171 4-489.61198905239496 MY-451.7376249958628 G:_-1618.314524393248 loss-2555586.0
 1-878.7505930198329 2-441.8702379245836 3-1031.4347843691357 4-568.2844625814844 MY-901.0882356733866 G:_--359.21799774880304 loss-385311.1875
 1-829.6777244525858 2-482.60883427694165 3-975.0247922949992 4-561.9191778183474 MY-1003.7584247002239 G:_--521.1495904232822 loss-500669.75
 1-955.3977422082519 2-456.87675389398873 3-844.0915925656742 4-568.3079441433993 MY-686.1042350282162 G:_-170.77251886577255 loss-34151.0703125
 1-798.7868314595927 2-535.1000054453176 3-993.0710392548158 4-460.95119430463484 MY-605.1983634976689 G:_-255.75283080696596 loss-53992.46484375
 1-843.6993381567565 2-513.6519729992484 3-1062.9120352795437 4-466.6465912967199 MY-541.5276143986079 G:_-325.11897689811207 loss-49869.48046875
 1-763.3491107112956 2-543.4304347886253 3-1035.6936142495153 4-469.7974497948986 MY-491.4544208358838 G:_-878.3430289590149 loss-695825.4375
 1-727.4855139708501 2-620.3439346996183 3-856.8047491171433 4-488.931558267497 MY-490.87460298727575 G:_-898.0569552802212 loss-482885.75
 1-751.3708260805487 2-522.8618981685001 3-944.9253843857775 4-498.0038276681458 MY-777.1099579991193 G:_--179.10613033097349 loss-231254.671875
 1-546.0026982548902 2-496.05099772239845 3-915.9853261379876 4-486.8597229183612 MY-721.2771703371199 G:_--134.41744741875868 loss-74359.375
 1-656.3423692569577 2-484.4141993069407 3-953.8428548116275 4-504.71077125399904 MY-908.9413753928744 G:_--324.5271760859337 loss-331882.5625
 1-777.057998511637 2-527.2280552298628 3-1052.427148005723 4-534.6041732700683 MY-687.4983401718891 G:_-239.72971505797364 loss-34516.359375
 1-649.8347040817343 2-458.4520314312818 3-969.3506213505998 4-495.4656000894039 MY-666.2774714119843 G:_--107.82543998070247 loss-80046.2734375
 1-703.4618422887246 2-825.5798040726089 3-833.0147372751024 4-609.1733758283929 MY-573.986076354646 G:_-1635.1872994737469 loss-2373369.75
 1-721.1519132041838 2-595.6480440539175 3-853.4965475843579 4-437.3471751828597 MY-595.7452367878004 G:_-241.60193839505928 loss-34893.6484375
 1-803.0320310804864 2-637.4769214890207 3-836.8491740884492 4-538.3378842315651 MY-490.90166865561696 G:_-1647.4362155759482 loss-1996320.625
 1-681.8485183123815 2-501.51675654700887 3-966.4537290708054 4-467.29424767188124 MY-552.7500562120603 G:_-314.544191459821 loss-85142.921875
 1-655.1936530368658 2-468.7306451679306 3-799.9501825111674 4-463.62181529827996 MY-636.906168790746 G:_-226.7156465075339 loss-22721.15234375
 1-678.030053753931 2-539.9949189107102 3-816.2874268145564 4-542.4965101769179 MY-1053.126542106126 G:_--513.1316231954157 loss-491895.03125
 1-931.1954819669986 2-505.37078347486676 3-935.2166531977474 4-508.9875060782074 MY-514.7686523628605 G:_-390.60213111200625 loss-55501.9296875
 1-845.3266515991561 2-540.1975811977771 3-1028.6870739763358 4-473.3969110396371 MY-713.4981572595219 G:_-159.89875378011516 loss-25890.0390625
 1-801.1776818833305 2-449.7560910353076 3-851.7612760794171 4-488.123137446996 MY-1004.6578768474669 G:_--554.9017858121593 loss-418404.125
 1-982.0546007331998 2-476.60446134189004 3-972.5685199951563 4-569.2692067440266 MY-631.6351317968401 G:_-244.9693295450499 loss-48772.3984375
 1-926.7031051691426 2-466.1958369935861 3-799.5161980548156 4-533.8678708849202 MY-556.2157995962762 G:_-309.98003739730996 loss-36077.99609375
 1-709.9545389572897 2-524.2969557529447 3-765.2925713996682 4-508.7665529570514 MY-686.3998986737489 G:_-222.36665428330247 loss-32758.955078125
 1-768.3522664415804 2-449.2489231996596 3-971.6075822401065 4-608.7940844121106 MY-509.1712191122527 G:_-840.0777040874069 loss-523187.09375
 1-717.5855134892049 2-604.9489733453448 3-778.501201890019 4-540.5736130246181 MY-573.8733693901711 G:_-866.700243634447 loss-640873.875
 1-746.0670268078954 2-471.1324652972341 3-729.2966638036484 4-499.02434653254045 MY-625.716950281995 G:_-245.41551501523912 loss-24739.25390625
 1-802.8660058143219 2-630.5435103377965 3-904.2536968345128 4-424.7324294501344 MY-938.448615444247 G:_--513.7161859941126 loss-451842.0
 1-705.7091921971163 2-446.36393647730813 3-829.8377089234452 4-601.826810480623 MY-623.3320924409687 G:_-223.0318440363394 loss-46414.11328125
 1-795.6868122787683 2-566.4957941776313 3-923.3422306180327 4-487.7193625012847 MY-862.8763500223469 G:_--275.15698752106215 loss-233506.46875
 1-761.1535946005916 2-485.62405292257654 3-1094.7340343742612 4-517.1116310551852 MY-552.8390218399929 G:_-332.7850310825836 loss-116827.15625
 1-755.8714694303361 2-510.15889162292797 3-910.0583915278974 4-528.2041235605742 MY-765.6373686442827 G:_--155.4784770213547 loss-152448.5
 1-826.2058130313172 2-676.1017249022061 3-803.0146528282207 4-735.8030069943075 MY-681.3850854052887 G:_-894.7166394969174 loss-614261.125
 1-739.48686071739 2-458.61099089935897 3-900.092936987426 4-489.7377289028386 MY-605.1204706980544 G:_-253.49052020130455 loss-18772.08203125
 1-731.1579010598157 2-570.8494741725483 3-844.3840493636126 4-516.889057446767 MY-605.0180833456983 G:_-311.87097410106867 loss-40534.5859375
