 1-638.1456692452562 2-429.8952694522319 3-824.0296617714773 4-726.1859566275948 MY-945.6419823621727 G:_--515.7467129099408 loss-52756.02734375
 1-705.7519699068669 2-475.71679703734793 3-842.827190116651 4-587.978659112204 MY-652.4511654923588 G:_-223.26563154498916 loss-472676.71875
 1-722.3518893660663 2-580.5163841976254 3-1009.2775980971446 4-800.7802550917888 MY-821.6654300906862 G:_--141.14904589306082 loss-24062.9296875
 1-650.6250668230546 2-669.0710933915575 3-932.1097228665631 4-850.9431339810932 MY-1106.8620833690807 G:_--456.2370165460261 loss-42516.98828125
 1-679.4460324119426 2-432.1186534592113 3-846.7680363208505 4-669.1592320037273 MY-678.915722515208 G:_-153.2029309440033 loss-263754.625
 1-727.2694251876272 2-476.9359552045404 3-879.0021202403125 4-662.430993501652 MY-817.7401120356792 G:_--240.8041568311388 loss-11162.7607421875
 1-714.0151644464705 2-537.4171924584945 3-795.614887423791 4-733.890429769677 MY-818.0418600939105 G:_--280.624667635416 loss-11342.373046875
 1-699.5891294845994 2-442.4013345691496 3-864.8529669893232 4-784.51520874006 MY-543.3698921054411 G:_-799.0314424637086 loss-1840764.625
 1-739.662152456793 2-600.9729291562586 3-967.2772740874454 4-597.0977884944122 MY-735.5139140711668 G:_-261.58387442324533 loss-282359.25
 1-720.1719810331317 2-549.8634210711368 3-904.4245160751836 4-751.4513257376385 MY-884.5779929646208 G:_--234.71457189348394 loss-9785.298828125
 1-699.3345455931325 2-653.1010612738513 3-922.7325353255037 4-583.7886369276279 MY-718.4846465428178 G:_--34.69600961518995 loss-122612.8203125
 1-692.0824433670108 2-533.8914763338104 3-828.8876408117171 4-726.9010756306604 MY-678.4923315862801 G:_-755.3991447475303 loss-1249665.75
 1-881.8057207587075 2-683.3381471406193 3-880.7618507279485 4-730.3738447311024 MY-895.2105832112653 G:_--211.87243607064602 loss-74304.203125
 1-783.5427710023444 2-457.5953069169196 3-827.5428665754094 4-574.6330448617548 MY-929.1508358251706 G:_--471.555528908251 loss-48275.95703125
 1-727.1793165378314 2-1129.2992788297402 3-895.485060769855 4-771.2524947525691 MY-935.4389453474188 G:_--108.25962880958741 loss-13952.7255859375
 1-626.5355688800131 2-525.1855965130235 3-921.151032560827 4-706.4583172562419 MY-878.8467026707119 G:_--253.66110615768844 loss-9358.69140625
 1-559.235233169089 2-554.4794696750818 3-846.4458681720223 4-659.8270288803155 MY-709.2018859720403 G:_--54.7224162969585 loss-93075.96875
 1-626.2882013764468 2-1088.1677298429433 3-778.4317664276077 4-721.4153980619467 MY-769.5092605196849 G:_-256.7789408567619 loss-391999.65625
 1-623.574844662583 2-479.2017159633992 3-756.3045211337461 4-576.8571640665134 MY-770.5884409185716 G:_--291.3867249551724 loss-16913.083984375
 1-890.3208980395515 2-534.3247120352144 3-915.6882266691997 4-666.9771499849261 MY-621.7384867133287 G:_-812.5862253218856 loss-1674383.375
 1-668.9019100261702 2-604.2247848788062 3-963.8968462079555 4-630.3971918334173 MY-845.7491904509457 G:_--141.52440557213947 loss-69197.3515625
 1-792.6548273889231 2-576.1175657902987 3-901.9327994181526 4-654.4949034653141 MY-645.3263321472936 G:_-830.7912336430052 loss-1408620.625
 1-500.2517575907797 2-541.147872419068 3-833.3385912275246 4-699.5311102356487 MY-908.4525362148078 G:_--408.2007786240281 loss-53851.0
 1-756.5473322479074 2-600.4222335513853 3-881.1166907908549 4-823.4802650428835 MY-877.9420914129437 G:_--177.51985786155842 loss-58560.58203125
 1-754.4397314887028 2-530.7379362122955 3-730.9509748333231 4-609.2003135661333 MY-790.3277919691579 G:_--259.58985575686245 loss-17424.30078125
 1-844.7496560167298 2-631.8544803710611 3-803.0461232734116 4-654.3544361685923
